Gender,Class year,What type of financial aid do you receive from Brown?,Are you currently on a varsity sports team?,How would you describe your sexual orientation?,Race/ethnicity (check all that apply),Concentration area(s),"Are you a legacy student (i.e. you have a parent, grandparent or sibling who attended Brown)?",Do you identify as a first-generation college student?,Were you a domestic or international applicant when you applied to Brown?,"Are you involved with a Greek life organization? (sorority of fraternity, NOT program housing) ",Do you live on or off campus?,Do you approve or disapprove of the way Christina Paxson is handling her job as the president of the University?,Do you approve or disapprove of the way the Undergraduate Council of Students is handling its job?,How satisfied are you with the available meal plan options?,"If the 2020 Democratic primary were held today, which candidate would you vote for?","Taking all things together, how happy would you say you are?",What do you think is the most important issue facing this country today?,How safe do you feel outside on campus after dark?,How safe do you feel outside in areas surrounding campus after dark? (incl. Thayer Street) ,How satisfied are you with your current housing situation?,How often do you use an E-cigarette (e.g. JUUL)?,What type of romantic or sexual relationship are you in right now?,What type of romantic or sexual relationship do you want right now?
Female,First-year,None,No,Heterosexual,White,Humanities/arts,No,No,International,No,On campus,Somewhat approve,Somewhat approve,Somewhat satisfied,Joe Biden,Somewhat happy,Current government leadership,Somewhat safe,Somewhat safe,Very satisfied,Never,Not in any kind of relationship,Consistent hook-ups with one other person
Female,Sophomore,None,No,Heterosexual,Asian,Humanities/arts,No,No,International,No,On campus,Somewhat disapprove,Somewhat approve,Somewhat satisfied,I am unsure,Not very happy,Current government leadership,Somewhat unsafe,Somewhat unsafe,Somewhat unsatisfied,Never,Not in any kind of relationship,Consistent hook-ups with one other person
Male,Sophomore,None,No,Heterosexual,White,"Physical sciences (incl. math, CS), Social sciences (not incl. BEO or econ)",No,No,Domestic,No,On campus,Somewhat approve,No opinion,Very dissatisfied,Pete Buttigieg,Very happy,Environment/Climate change,Very safe,Very safe,Very satisfied,Never,Do not know,Exclusive relationship with one other person
Male,Sophomore,None,No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",No,No,Domestic,No,Off campus,Somewhat approve,Somewhat disapprove,Very dissatisfied,Joe Biden,Somewhat happy,Race relations/Racism,Somewhat safe,Somewhat unsafe,Very satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Female,Junior,"Grants, covering some costs",No,Bisexual,White,"Humanities/arts, Social sciences (not incl. BEO or econ)",Yes,No,Domestic,No,On campus,Strongly disapprove,Somewhat approve,Very dissatisfied,Bernie Sanders,Not very happy,Race relations/Racism,Somewhat unsafe,Somewhat unsafe,Somewhat unsatisfied,Never,Not in any kind of relationship,Casual hook-ups with multiple people
Female,First-year,None,No,Heterosexual,"White, Other",Life sciences,No,No,Domestic,No,On campus,Somewhat approve,Somewhat approve,Somewhat satisfied,Kamala Harris,Very happy,Unemployment,Somewhat safe,Somewhat unsafe,Very satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Male,First-year,None,Yes,Heterosexual,"White, Hispanic","Physical sciences (incl. math, CS)",No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat satisfied,Kamala Harris,Somewhat happy,Immigration,Very safe,Very safe,Somewhat satisfied,Never,Not in any kind of relationship,Do not know
Male,First-year,None,No,Heterosexual,Asian,Social sciences (not incl. BEO or econ),No,No,International,No,On campus,Somewhat approve,No opinion,Somewhat dissatisfied,I am ineligible to vote,Somewhat happy,Gap between rich and poor,Somewhat safe,Somewhat unsafe,Somewhat satisfied,Never,Not in any kind of relationship,Not in any kind of relationship
Female,First-year,None,No,Heterosexual,Asian,"Humanities/arts, Business (BEO or econ)",No,No,International,No,On campus,Strongly approve,Somewhat approve,Somewhat dissatisfied,I am ineligible to vote,Very happy,Current government leadership,Somewhat unsafe,Somewhat unsafe,Somewhat unsatisfied,Never,Not in any kind of relationship,Consistent hook-ups with multiple people
Male,First-year,"Grants, covering some costs",No,Bisexual,White,"Humanities/arts, Social sciences (not incl. BEO or econ)",Yes,No,Domestic,No,On campus,Somewhat approve,Somewhat approve,Somewhat satisfied,Bernie Sanders,Very happy,Environment/Climate change,Very safe,Somewhat safe,Somewhat satisfied,Never,Not in any kind of relationship,Consistent hook-ups with multiple people
